"Type","Date","Set Time","Title","Amount","Currency","Exchange Rate","Category Group Name","Category","Account","Notes","Labels","Status"
"Expense","2023-05-20 08:22:11","08:22","Food","-65.00","PHP","1.0000000000","Others","Others","Wallet","","","Reconciled"
"Expense","2023-05-19 20:19:24","20:19","Food","-200.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-05-19 19:19:58","19:19","Laundry","-170.00","PHP","1.0000000000","Personal Care","Laundry ","Wallet","","","Reconciled"
"Income","2023-05-19 13:50:57","13:50","Study Now, Pay Later","10000.00","PHP","1.0000000000","Allowance","Study Now, Pay Later ","Wallet","","","Reconciled"
"Expense","2023-05-18 20:16:12","20:16","Food","-200.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-05-17 20:16:04","20:16","Food","-200.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-05-16 20:15:48","20:15","Food","-200.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-05-15 20:15:29","20:15","Food","-200.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-05-11 17:20:36","17:20","Medicine","-105.00","PHP","1.0000000000","Personal Care","Self-Care","Wallet","","","Reconciled"
"Expense","2023-05-11 16:27:11","16:27","Battery","-47.00","PHP","1.0000000000","Shopping","Electronics/Gadgets","Wallet","","","Reconciled"
"Expense","2023-05-11 16:25:34","16:25","Star Grocery","-299.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-05-11 12:26:46","12:26","YMCA","-50.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2023-05-10 17:58:42","17:58","Vitamilk","-30.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-05-10 17:58:21","17:58","Detergent","-12.00","PHP","1.0000000000","Personal Care","Laundry ","Wallet","","","Reconciled"
"Expense","2023-05-10 17:27:46","17:27","Bugong","-105.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2023-05-10 15:13:55","15:13","ATM Fee","-16.00","PHP","1.0000000000","Bills","Transaction Fees","Union Bank","","","Reconciled"
"Transfer","2023-05-10 15:13:45","15:13","Union Bank to Cash","-1600.00","PHP","1.0000000000","(Transfer)","(Transfer)","Union Bank","","","Reconciled"
"Transfer","2023-05-10 15:13:45","15:13","Union Bank to Cash","1600.00","PHP","1.0000000000","(Transfer)","(Transfer)","Wallet","","","Reconciled"
"Transfer","2023-05-10 15:13:10","15:13","Seabank to Union Bank","-377.00","PHP","1.0000000000","(Transfer)","(Transfer)","Seabank","","","Reconciled"
"Transfer","2023-05-10 15:13:10","15:13","Seabank to Union Bank","377.00","PHP","1.0000000000","(Transfer)","(Transfer)","Union Bank","","","Reconciled"
"Expense","2023-05-10 15:13:04","15:13","Instapay","-15.00","PHP","1.0000000000","Bills","Transaction Fees","GCash","","","Reconciled"
"Transfer","2023-05-10 15:12:52","15:12","Gcash to Union Bank","-1290.00","PHP","1.0000000000","(Transfer)","(Transfer)","GCash","","","Reconciled"
"Transfer","2023-05-10 15:12:52","15:12","Gcash to Union Bank","1290.00","PHP","1.0000000000","(Transfer)","(Transfer)","Union Bank","","","Reconciled"
