"Type","Date","Set Time","Title","Amount","Currency","Exchange Rate","Category Group Name","Category","Account","Notes","Labels","Status"
"Expense","2022-08-14 14:52:06","14:52","Jeep","-25.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2022-08-14 13:45:08","13:45","FX","-40.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2022-08-14 12:39:37","12:39","Banapple","-340.00","PHP","1.0000000000","Leisure","Gifts/Treats","GCash","","","Reconciled"
"Expense","2022-08-14 07:24:27","07:24","7/11 Coffee","-125.00","PHP","1.0000000000","Leisure","Staycation ","GCash","","","Reconciled"
"Expense","2022-08-13 17:26:09","17:26","Savemore","-509.05","PHP","1.0000000000","Leisure","Staycation ","GCash","","","Reconciled"
"Expense","2022-08-13 13:28:44","13:28","SnR","-218.00","PHP","1.0000000000","Leisure","Staycation ","GCash","","","Reconciled"
"Expense","2022-08-13 13:23:59","13:23","Oxgn Cap","-349.00","PHP","1.0000000000","Shopping","Apparel ","GCash","","","Reconciled"
"Expense","2022-08-13 12:39:03","12:39","Burger King","-466.00","PHP","1.0000000000","Leisure","Staycation ","GCash","","","Reconciled"
"Expense","2022-08-13 11:08:57","11:08","Bus","-264.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2022-08-12 20:07:52","20:07","Bus","-132.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2022-08-12 20:06:46","20:06","Bus","-70.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2022-08-12 20:05:39","20:05","Tricycle","-20.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"New Account","2022-08-11 21:15:42","21:15","Wallet","644.00","PHP","1.0000000000","(New Account)","(New Account)","Wallet","","","Reconciled"
"New Account","2022-08-11 00:00:00","00:00","Union Bank","10099.03","PHP","1.0000000000","(New Account)","(New Account)","Union Bank","","","Reconciled"
"New Account","2022-08-11 00:00:00","00:00","GCash","4830.38","PHP","1.0000000000","(New Account)","(New Account)","GCash","","","Reconciled"
"New Account","2022-08-11 00:00:00","00:00","ShopeePay","86.00","PHP","1.0000000000","(New Account)","(New Account)","ShopeePay","","","Reconciled"
"New Account","2022-08-11 00:00:00","00:00","Binance ","10730.00","PHP","1.0000000000","(New Account)","(New Account)","Binance","","","Reconciled"
"New Account","2022-08-11 00:00:00","00:00","Ronin","430.00","PHP","1.0000000000","(New Account)","(New Account)","Ronin","","","Reconciled"
